"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2011","38.6","1"
"Afghanistan","2010","34.3","2"
"Afghanistan","2008","24","3"
"Afghanistan","2006","18.9","4"
"Afghanistan","2003","14.3","5"
"Albania","2009","99.3","6"
"Albania","2006","99","7"
"Albania","2005","99.8","8"
"Albania","2004","99.3","7"
"Albania","2003","98.8","7"
"Albania","2002","98","9"
"Albania","2001","99","7"
"Algeria","2013","96.6","10"
"Algeria","2006","95.2","11"
"Algeria","2002","95.9","9"
"American Samoa","2002","100","12"
"Angola","2007","49.9","13"
"Angola","2001","44.7","14"
"Antigua and Barbuda","2013","100","15"
"Antigua and Barbuda","2012","100","16"
"Antigua and Barbuda","2008","100","3"
"Antigua and Barbuda","2007","100","17"
"Antigua and Barbuda","2006","99.9","18"
"Antigua and Barbuda","2005","99.9","19"
"Antigua and Barbuda","2004","100","20"
"Antigua and Barbuda","2003","99","21"
"Antigua and Barbuda","2002","99","22"
"Antigua and Barbuda","2001","100","23"
"Arab World","2012","78.2128430035964","24"
"Argentina","2013","97.04","25"
"Argentina","2012","98.2","26"
"Argentina","2011","97.14","27"
"Argentina","2010","94.97","28"
"Argentina","2009","97.9","28"
"Argentina","2008","94.8","29"
"Argentina","2007","99.4","30"
"Argentina","2006","99.4","31"
"Argentina","2005","99.1","32"
"Argentina","2004","98.7","33"
"Argentina","2003","98.7","34"
"Argentina","2002","98.9","35"
"Armenia","2010","99.5","2"
"Armenia","2008","99.9","7"
"Armenia","2007","99.9","17"
"Armenia","2006","99.7","7"
"Armenia","2005","97.8","36"
"Armenia","2004","99.5","7"
"Armenia","2003","99.2","7"
"Armenia","2002","98.8","7"
"Armenia","2001","98.4","7"
"Aruba","2002","96","37"
"Australia","2003","100","12"
"Azerbaijan","2011","97.2","38"
"Azerbaijan","2010","99.4","39"
"Azerbaijan","2006","88","40"
"Azerbaijan","2001","88","23"
"Bahamas, The","2013","98","15"
"Bahamas, The","2011","99","16"
"Bahamas, The","2007","99","17"
"Bahamas, The","2006","99","18"
"Bahamas, The","2004","99","41"
"Bahamas, The","2002","99","21"
"Bahrain","2009","99.5","42"
"Bahrain","2008","97.4","3"
"Bahrain","2005","99","43"
"Bangladesh","2014","42.1","44"
"Bangladesh","2013","34.4","16"
"Bangladesh","2011","27.8","38"
"Bangladesh","2010","26.5","45"
"Bangladesh","2009","24.4","46"
"Bangladesh","2007","18","47"
"Bangladesh","2006","20.1","11"
"Bangladesh","2004","12.8","48"
"Bangladesh","2003","13.9","5"
"Bangladesh","2001","11.6","23"
"Barbados","2013","98","15"
"Barbados","2012","100","16"
"Barbados","2007","100","17"
"Barbados","2006","100","18"
"Barbados","2005","100","19"
"Barbados","2004","100","20"
"Barbados","2003","100","49"
"Belarus","2012","100","50"
"Belarus","2010","99.9","51"
"Belarus","2009","99.9","51"
"Belarus","2008","99.9","52"
"Belarus","2007","99.9","7"
"Belarus","2006","99.9","7"
"Belarus","2005","100","8"
"Belarus","2004","99.9","20"
"Belarus","2003","99.9","7"
"Belarus","2002","99.9","9"
"Belarus","2001","99.9","7"
"Belize","2011","96.2","53"
"Belize","2010","94.3","54"
"Belize","2009","93.5","55"
"Belize","2008","94.9","29"
"Belize","2007","94.6","30"
"Belize","2006","95.8","11"
"Belize","2005","89.3","56"
"Belize","2004","87.8","57"
"Belize","2002","97","21"
"Benin","2014","77.2","58"
"Benin","2012","84.1","59"
"Benin","2006","77.7","40"
"Benin","2005","75","60"
"Benin","2001","72.9","61"
"Bhutan","2012","74.6","62"
"Bhutan","2010","64.5","63"
"Bhutan","2007","71.4","64"
"Bhutan","2003","56.1","65"
"Bolivia","2012","84.8","66"
"Bolivia","2011","84.04","39"
"Bolivia","2008","71.1","67"
"Bolivia","2003","60.8","68"
"Bolivia","2002","65.1","9"
"Bosnia and Herzegovina","2012","99.9","69"
"Bosnia and Herzegovina","2006","99.6","11"
"Bosnia and Herzegovina","2005","100","7"
"Bosnia and Herzegovina","2004","99.9","20"
"Bosnia and Herzegovina","2003","99.7","7"
"Bosnia and Herzegovina","2002","99.8","54"
"Bosnia and Herzegovina","2001","99.8","54"
"Botswana","2007","94.6","70"
"Brazil","2012","98.1","71"
"Brazil","2011","98.08","72"
"Brazil","2006","97","31"
"Brazil","2003","96.6","56"
"Brazil","2001","96.45","73"
"Brunei Darussalam","2009","99.9","74"
"Brunei Darussalam","2005","99.7","75"
"Brunei Darussalam","2004","99.6","12"
"Bulgaria","2013","99.7","76"
"Bulgaria","2010","99.5","39"
"Bulgaria","2009","99.6","77"
"Bulgaria","2008","99.6","3"
"Bulgaria","2007","99.6","17"
"Bulgaria","2006","99.4","18"
"Bulgaria","2005","99.4","19"
"Bulgaria","2004","99.4","20"
"Bulgaria","2003","99.2","49"
"Bulgaria","2002","99.2","9"
"Bulgaria","2001","98.9","23"
"Burkina Faso","2010","23","2"
"Burkina Faso","2006","53.5","11"
"Burkina Faso","2003","37.8","68"
"Burundi","2010","60.3","2"
"Burundi","2005","33.6","8"
"Cambodia","2014","89","78"
"Cambodia","2012","74","79"
"Cambodia","2011","71.7","39"
"Cambodia","2010","71","2"
"Cambodia","2005","43.8","36"
"Cameroon","2014","64.7","80"
"Cameroon","2011","63.6","38"
"Cameroon","2006","63","11"
"Cameroon","2004","58.9","48"
"Canada","2011","99.9","15"
"Canada","2007","100","81"
"Canada","2004","100","82"
"Canada","2001","98.3","23"
"Cape Verde","2005","77.5","36"
"Cayman Islands","2005","100","37"
"Central African Republic","2010","53.8","83"
"Central African Republic","2009","43.7","84"
"Central African Republic","2006","53.4","11"
"Chad","2015","24.3","85"
"Chad","2010","22.7","63"
"Chad","2004","14.5","48"
"Chile","2012","99.83","86"
"Chile","2011","99.85","16"
"Chile","2010","99.83","39"
"Chile","2009","99.8","16"
"Chile","2008","99.85","54"
"Chile","2007","99.7","17"
"Chile","2006","99.8","31"
"Chile","2005","99.8","32"
"Chile","2004","99.8","20"
"Chile","2002","99.8","87"
"Chile","2001","99.8","88"
"China","2013","99.9","89"
"China","2012","99.8","90"
"China","2011","99.7","91"
"China","2010","99.6","72"
"China","2009","99.3","92"
"China","2008","99.1","29"
"China","2007","98.4","30"
"China","2006","97.8","31"
"China","2005","97.5","32"
"China","2004","97.3","93"
"China","2003","95.9","34"
"China","2002","96.7","35"
"China","2001","97.3","88"
"Colombia","2013","99.05","94"
"Colombia","2012","99.3","95"
"Colombia","2011","99.3","96"
"Colombia","2010","95.6","2"
"Colombia","2005","92.6","36"
"Comoros","2012","82.2","97"
"Congo, Dem. Rep.","2014","80.1","98"
"Congo, Dem. Rep.","2010","80.4","63"
"Congo, Dem. Rep.","2007","52.8","47"
"Congo, Dem. Rep.","2001","60.7","99"
"Congo, Rep.","2012","92.5","100"
"Congo, Rep.","2005","31.2","36"
"Costa Rica","2011","98.4","53"
"Costa Rica","2010","99.26","52"
"Costa Rica","2009","99.17","101"
"Costa Rica","2008","99.1","3"
"Costa Rica","2004","98.5","20"
"Costa Rica","2001","98","23"
"Cote d'Ivoire","2012","59.4","59"
"Cote d'Ivoire","2006","56.8","11"
"Cote d'Ivoire","2005","55.1","102"
"Cote d'Ivoire","2004","68","103"
"Croatia","2011","100","104"
"Croatia","2010","99.9","51"
"Croatia","2009","99.9","77"
"Croatia","2008","99.9","52"
"Croatia","2007","99.9","17"
"Croatia","2006","99.9","18"
"Croatia","2005","99.9","19"
"Croatia","2004","99.9","20"
"Croatia","2003","99.9","49"
"Croatia","2002","99.9","9"
"Croatia","2001","99.9","7"
"Cuba","2014","99.4","105"
"Cuba","2012","100","106"
"Cuba","2011","99.9","107"
"Cuba","2010","99.9","51"
"Cuba","2009","99.9","84"
"Cuba","2008","99.9","3"
"Cuba","2007","99.9","17"
"Cuba","2005","99.9","19"
"Cuba","2004","99.9","20"
"Cuba","2001","99.9","23"
"Cyprus","2003","99","108"
"Czech Republic","2010","99.9","109"
"Czech Republic","2009","99.9","77"
"Czech Republic","2008","99.9","3"
"Czech Republic","2007","99.9","17"
"Czech Republic","2006","99.9","18"
"Czech Republic","2005","99.9","19"
"Czech Republic","2004","99.9","20"
"Czech Republic","2003","99.9","49"
"Czech Republic","2002","99.9","9"
"Czech Republic","2001","99.9","23"
"Djibouti","2012","87.4","110"
"Djibouti","2006","92.9","11"
"Djibouti","2003","60.6","34"
"Dominica","2013","100","15"
"Dominica","2012","100","16"
"Dominica","2008","100","84"
"Dominica","2007","94","17"
"Dominica","2005","99","19"
"Dominica","2004","100","20"
"Dominica","2003","100","49"
"Dominica","2002","100","21"
"Dominica","2001","100","22"
